,season,team,Est_Payroll
394,2003,St. Louis Cardinals,"$83,786,666"
395,2003,Tampa Bay Devil Rays,"$19,630,000"
396,2003,Texas Rangers,"$103,491,667"
397,2003,Toronto Blue Jays,"$51,269,000"
398,2004,Anaheim Angels,"$100,534,667"
399,2004,Arizona Diamondbacks,"$69,780,750"
400,2004,Atlanta Braves,"$90,182,500"
401,2004,Baltimore Orioles,"$51,623,333"
402,2004,Boston Red Sox,"$127,298,500"
403,2004,Chicago Cubs,"$90,560,000"
404,2004,Chicago White Sox,"$65,212,500"
405,2004,Cincinnati Reds,"$46,915,250"
406,2004,Cleveland Indians,"$34,319,300"
407,2004,Colorado Rockies,"$65,445,167"
408,2004,Detroit Tigers,"$46,832,000"
409,2004,Florida Marlins,"$42,143,042"
410,2004,Houston Astros,"$75,397,000"
411,2004,Kansas City Royals,"$47,609,000"
412,2004,Los Angeles Dodgers,"$92,902,001"
413,2004,Milwaukee Brewers,"$27,528,500"
414,2004,Minnesota Twins,"$53,890,000"
415,2004,Montreal Expos,"$41,197,500"
416,2004,New York Mets,"$102,035,970"
417,2004,New York Yankees,"$184,193,950"
418,2004,Oakland Athletics,"$59,425,667"
419,2004,Philadelphia Phillies,"$93,219,167"
420,2004,Pittsburgh Pirates,"$32,227,929"
421,2004,San Diego Padres,"$55,384,833"
422,2004,Seattle Mariners,"$81,515,834"
423,2004,San Francisco Giants,"$82,019,166"
424,2004,St. Louis Cardinals,"$84,340,333"
425,2004,Tampa Bay Devil Rays,"$29,856,667"
426,2004,Texas Rangers,"$55,050,417"
427,2004,Toronto Blue Jays,"$50,017,000"
428,2005,Arizona Diamondbacks,"$62,629,166"
429,2005,Atlanta Braves,"$86,457,302"
430,2005,Baltimore Orioles,"$73,914,333"
431,2005,Boston Red Sox,"$123,505,125"
432,2005,Chicago Cubs,"$87,032,933"
433,2005,Chicago White Sox,"$75,178,000"
434,2005,Cincinnati Reds,"$61,892,583"
435,2005,Cleveland Indians,"$41,502,500"
436,2005,Colorado Rockies,"$47,839,000"
437,2005,Detroit Tigers,"$69,092,000"
438,2005,Florida Marlins,"$60,408,834"
439,2005,Houston Astros,"$76,779,000"
440,2005,Kansas City Royals,"$36,881,000"
441,2005,Los Angeles Angels of Anaheim,"$94,867,822"
442,2005,Los Angeles Dodgers,"$83,039,000"
443,2005,Milwaukee Brewers,"$39,934,833"
444,2005,Minnesota Twins,"$56,186,000"
445,2005,New York Mets,"$101,305,821"
446,2005,New York Yankees,"$208,306,817"
447,2005,Oakland Athletics,"$55,425,762"
448,2005,Philadelphia Phillies,"$95,522,000"
449,2005,Pittsburgh Pirates,"$38,133,000"
450,2005,San Diego Padres,"$63,290,833"
451,2005,Seattle Mariners,"$87,754,334"
452,2005,San Francisco Giants,"$90,199,500"
453,2005,St. Louis Cardinals,"$92,106,833"
454,2005,Tampa Bay Devil Rays,"$29,679,067"
455,2005,Texas Rangers,"$55,849,000"
456,2005,Toronto Blue Jays,"$45,719,500"
457,2005,Washington Nationals,"$48,581,500"
458,2006,Arizona Diamondbacks,"$59,984,226"
459,2006,Atlanta Braves,"$90,156,876"
460,2006,Baltimore Orioles,"$72,585,582"
461,2006,Boston Red Sox,"$120,099,824"
462,2006,Chicago Cubs,"$94,424,499"
463,2006,Chicago White Sox,"$102,750,667"
464,2006,Cincinnati Reds,"$60,909,519"
465,2006,Cleveland Indians,"$56,031,500"
466,2006,Colorado Rockies,"$41,233,000"
467,2006,Detroit Tigers,"$82,612,866"
468,2006,Florida Marlins,"$14,671,500"
469,2006,Houston Astros,"$100,894,435"
470,2006,Kansas City Royals,"$47,694,000"
471,2006,Los Angeles Angels of Anaheim,"$103,472,000"
472,2006,Los Angeles Dodgers,"$98,447,187"
473,2006,Milwaukee Brewers,"$57,970,333"
